term,group1,group2,null.value,estimate,conf.low,conf.high,p.adj,p.adj.signif
strain,e1880,e1880_tbb_1del,0,-32.86867657688868,-48.149847572237654,-17.58750558153971,7.54e-8,****
strain,e1880,ECA882,0,28.332190582295304,12.967286516340067,43.69709464825054,6.37e-6,****
strain,e1880,tbb1_del,0,-24.29098023803188,-39.613614886718395,-8.968345589345365,1.7e-4,***
strain,e1880,tN2,0,33.84833257580174,18.3515385022297,49.34512664937378,4.51e-8,****
strain,e1880_tbb_1del,ECA882,0,61.200867159183986,45.91969616383501,76.48203815453296,0,****
strain,e1880_tbb_1del,tbb1_del,0,8.577696338856798,-6.6609729800245425,23.81636565773814,0.536,ns
strain,e1880_tbb_1del,tN2,0,66.71700915269042,51.30323166007738,82.13078664530346,0,****
strain,ECA882,tbb1_del,0,-52.62317082032718,-67.94580546901369,-37.300536171640665,0,****
strain,ECA882,tN2,0,5.516141993506437,-9.980652080065605,21.012936067078478,0.866,ns
strain,tbb1_del,tN2,0,58.13931281383362,42.68442743154047,73.59419819612677,0,****
