term,group1,group2,null.value,estimate,conf.low,conf.high,p.adj,p.adj.signif
strain,e1880,e1880_tbb_1del,0,-67.63481452017953,-76.13770804466962,-59.13192099568945,0,****
strain,e1880,tbb1_del,0,-333.4043013707667,-341.8628562054024,-324.94574653613097,0,****
strain,e1880,tN2,0,-221.29013370463434,-229.81583712957956,-212.76443027968912,0,****
strain,e1880_tbb_1del,tbb1_del,0,-265.76948685058716,-274.13253061704427,-257.40644308413005,0,****
strain,e1880_tbb_1del,tN2,0,-153.6553191844548,-162.08627227644033,-145.2243660924693,0,****
strain,tbb1_del,tN2,0,112.11416766613233,103.72793361019374,120.50040172207092,0,****
